Sia,Chandelier,1000 Forms Of Fear (Deluxe Version),https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV,73
Katy Perry,Last Friday Night (T.G.I.F.),Teenage Dream,https://open.spotify.com/track/3KoTtGEDiBwUWzdRQVh9lh,59
Dua Lipa,IDGAF,Dua Lipa (Deluxe),https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76
Halsey,Damage,Seven Days,https://open.spotify.com/track/4Z22Uz5JhtWbkmzojNcdPr,76
Lorde,Liability,Melodrama,https://open.spotify.com/track/6Kkt27YmFyIFrcX3QXFi2o,73
Katy Perry,Roar,PRISM (Deluxe),https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,69
Ariana Grande,Into You,Dangerous Woman,https://open.spotify.com/track/2meEiZKWkiN28gITzFwQo5,77
Fifth Harmony,Worth It,Reflection (Deluxe),https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,78
Kesha,Woman,Rainbow,https://open.spotify.com/track/1kJtfldK9F7XmsSiSNlbth,71
Nicki Minaj,Starships,Pink Friday ... Roman Reloaded,https://open.spotify.com/track/1oHNvJVbFkexQc0BpQp7Y4,65
Ariana Grande,Everyday,Dangerous Woman,https://open.spotify.com/track/6yL2kTsdVwYnGwPkKGtMd5,75
Alicia Keys,Fallin',Songs In A Minor,https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D,75
Alicia Keys,No One - Acoustic,Vault Playlist Vol. 1,https://open.spotify.com/track/2VFf8YhTnmhWF108o9UEr7,63
Kelly Clarkson,Love So Soft,Love So Soft,https://open.spotify.com/track/0o7glLPfZgns8ZF14Wlpf7,78
Nicki Minaj,Run Up,Run Up,https://open.spotify.com/track/0SujigeT7cxuxBfhN3eOcp,73
Kelly Clarkson,Because of You,Breakaway,https://open.spotify.com/track/3f3omU8n47Mqyab5nCaGyT,76
Katy Perry,Dark Horse,PRISM (Deluxe),https://open.spotify.com/track/5jrdCoLpJSvHHorevXBATy,73
Zara Larsson,Lush Life,So Good,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,81
Demi Levato,Tell Me You Love Me,Tell Me You Love Me,https://open.spotify.com/track/3hYvGiw2Q8QE2YWdIJLBz0,71
Jessie J,Not My Ex,Not My Ex,https://open.spotify.com/track/5pcpdosT9cr3xIfC0PYhBw,58
Dua Lipa,Be The One,Dua Lipa (Deluxe),https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol,74
Demi Levato,Sorry Not Sorry,Tell Me You Love Me,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0,85
Banks,Crowded Places,Crowded Places,https://open.spotify.com/track/6kNMg11e0ApnTmExdayfA1,63
Selena Gomez,Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),https://open.spotify.com/track/4lnAN2S1fcI0SjxEbksZVr,83
Ciara,I'm Out,Ciara,https://open.spotify.com/track/3c7MNgwEBQTnrOWLjU1DHq,62
Alicia Keys,Un-thinkable (I'm Ready),The Element Of Freedom,https://open.spotify.com/track/4JOP8ELK6AaeySe7sKe996,66
Jessie J,Domino,Who You Are (Platinum Edition),https://open.spotify.com/track/6MAdEUilV2p9RQUqE5bMAK,62
Dua Lipa,Blow Your Mind (Mwah),Dua Lipa (Deluxe),https://open.spotify.com/track/2eAAEa8pxKF7My0EO4rFgR,77
Taylor Swift,Look What You Made Me Do,Look What You Made Me Do,https://open.spotify.com/track/2VjtYe7gpfUi2OkGxR2O2z,91
Banks,Waiting Game,Goddess (Deluxe),https://open.spotify.com/track/27mT3JdR3sRJyiMBFHdhB4,60
Katy Perry,Swish Swish,Witness,https://open.spotify.com/track/2y6vf5vYJFow4oABKSW1m3,79
Lana Del Rey,Love,Lust For Life,https://open.spotify.com/track/2Kerz9H9IejzeIpjhDJoYG,72
Alicia Keys,Empire State Of Mind (Part II) Broken Down,The Element Of Freedom,https://open.spotify.com/track/5sra5UY6sD658OabHL3QtI,72
Zendaya,Replay,Zendaya,https://open.spotify.com/track/7d1CFwrBmH34gmS0Hkbfbt,64
Jessie J,Bang Bang,My Everything (Deluxe),https://open.spotify.com/track/466s1BacUmiRdR3ISvNjyx,70
Adele,Send My Love (To Your New Lover),25,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,74
Sia,The Greatest,This Is Acting (Deluxe Version),https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,81
Kesha,Hymn,Rainbow,https://open.spotify.com/track/1JuChOEPH0Rceq573FGQSK,71
Alicia Keys,My Boo,Confessions,https://open.spotify.com/track/68vgtRHr7iZHpzGpon6Jlo,77
Beyonce,Halo,I AM...SASHA FIERCE,https://open.spotify.com/track/4JehYebiI9JE8sR8MisGVb,80
Tove Lo,Disco Tits,Disco Tits,https://open.spotify.com/track/5KPArsBnMuVN4DMJ3EsCOe,70
Nicki Minaj,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,92
Lady Gaga,Million Reasons,Joanne (Deluxe),https://open.spotify.com/track/7dZ1Odmx9jWIweQSatnRqo,76
Nicki Minaj,Only,The Pinkprint (Deluxe),https://open.spotify.com/track/4MRT0dDbhqFKl67WzhUbSw,73
Ariana Grande,Dangerous Woman,Dangerous Woman,https://open.spotify.com/track/7l94dyN2hX9c6wWcZQuOGJ,75
Ariana Grande,They Don't Know,TROLLS (Original Motion Picture Soundtrack),https://open.spotify.com/track/1w1kzejjmiMhdWAOecgo4l,72
Ariana Grande,Side To Side,Dangerous Woman,https://open.spotify.com/track/1pKeFVVUOPjFsOABub0OaV,79
Nicki Minaj,No Frauds,No Frauds,https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0,73
Zendaya,Something New,Something New,https://open.spotify.com/track/1z15fhSgN6U2k4gqA1Zu4j,59
Lady Gaga,Telephone,The Fame Monster,https://open.spotify.com/track/1IaYWv32nFFMdljBIjMY5T,67
